numpar_candidates_eff,mv_incparty,mv_incpartyfor1,party_PT_wonlag1_b1,party_PMDB_wonlag1_b1,party_DEM_wonlag1_b1,party_PSDB_wonlag1_b1,population,pibpc
2.403234,,,,,,,6308,
3.0209165,,,,,,,2918,
3.239635,,,,,,,13955,
2.8370931,,,,,,,4101,
2.5671685,,,,,,,2903,
1,,,,,,,56705,
2.8286226,,,,,,,9255,
2.9544806,,,,,,,22142,
2.9826281,,,,,,,3977,
2.0264978,,,,,,,8699,
2.8675585,,,,,,,5520,
1.9531931,,,,,,,8381,
2.625443,,,,,,,12101,
4.1743221,,,,,,,8326,
1.7936182,,,,,,,5270,
2.4489625,,,,,,,228990,
1.997139,,,,,,,8501,
2.3754756,,,,,,,1633,
2.7119899,,,,,,,14280,
1.9899447,,,,,,,23330,
2.9268169,,,,,,,23715,
3.7878792,,,,,,,12716,
1.9979308,,,,,,,17754,
1.9999318,,,,,,,16513,
2.2268493,,,,,,,173339,
3.5666885,,,,,,,36642,
1.9667408,,,,,,,9164,
1.9814522,,,,,,,6076,
2.0664637,,,,,,,13446,
1.0874724,,,,,,,5278,
1.9561551,,,,,,,6411,
3.2501771,,,,,,,22162,
1.9711161,,,,,,,9714,
1.2082903,,,,,,,8663,
2.4712179,,,,,,,17964,
1.9988132,,,,,,,6886,
1.9848189,,,,,,,38246,
1.9978008,,,,,,,10289,
1.9702073,,,,,,,17151,
1.8904054,,,,,,,20127,
2.020941,,,,,,,5938,
2.008882,,,,,,,7593,
1.8830948,,,,,,,10188,
2.9504979,,,,,,,17924,
2.3888261,,,,,,,5084,
2.0311501,,,,,,,47175,
1.98158,,,,,,,18599,
3.21138,,,,,,,40537,
1.9553633,,,,,,,11374,
1.9097817,,,,,,,15260,
3.824563,,,,,,,18959,
1.9753951,,,,,,,3693,
1.4014248,,,,,,,12619,
1.9826123,,,,,,,27495,
2.0753543,,,,,,,14976,
1.9999623,,,,,,,24250,
1.9809881,,,,,,,19354,
1.7312492,,,,,,,15193,
1.1828429,,,,,,,5273,
2.4576399,,,,,,,7550,
1.9777776,,,,,,,6548,
1.7812927,,,,,,,5069,
3.0078456,,,,,,,19381,
2.9496872,,,,,,,4644,
1.9616728,,,,,,,22696,
1.8945507,,,,,,,17735,
2.1230943,,,,,,,19138,
2.0317574,,,,,,,17282,
2.1036291,,,,,,,16912,
2.9669116,,,,,,,13747,
2.0743499,,,,,,,28215,
2.5217121,,,,,,,14201,
2.6175644,,,,,,,4393,
1.9782418,,,,,,,24387,
3.0069764,,,,,,,23007,
3.0130534,,,,,,,10648,
1.9862502,,,,,,,5344,
1.9919447,,,,,,,6453,
2.0695314,,,,,,,23038,
2.9541516,,,,,,,11247,
1.9988017,,,,,,,17060,
2.1490285,,,,,,,5966,
1.9659218,,,,,,,4503,
1.797163,,,,,,,10209,
1.7673573,,,,,,,9076,
1.9696229,,,,,,,4104,
3.8065977,,,,,,,67689,
2.14182,,,,,,,23386,
1.9721138,,,,,,,8189,
4.0266075,,,,,,,7121,
1.7847944,,,,,,,13841,
1.9032192,,,,,,,8979,
3.2391956,,,,,,,54390,
1.9962964,,,,,,,15953,
3.2049131,,,,,,,30178,
3.3619599,,,,,,,3223,
2.017772,,,,,,,19652,
2.0546815,,,,,,,10969,
3.913801,,,,,,,24150,
1.998732,,,,,,,10330,
3.6454525,,,,,,,17318,
1.9184902,,,,,,,12133,
2.9587333,,,,,,,58244,
1.7629907,,,,,,,7317,
3.1195672,,,,,,,6357,
3.8059051,,,,,,,38231,
2.012419,,,,,,,12076,
2.5615427,,,,,,,6258,
2.1507235,,,,,,,22118,
2.2483318,,,,,,,27814,
2.5817568,,,,,,,31234,
2.3075607,,,,,,,49504,
2.2939556,,,,,,,5560,
2.9614327,,,,,,,27151,
3.8049638,,,,,,,10954,
1.9024456,,,,,,,8317,
3.0654395,,,,,,,33634,
2.5506334,,,,,,,7036,
2.049473,,,,,,,17047,
2.1429851,,,,,,,24071,
2.4695077,,,,,,,54799,
2.1637118,,,,,,,25024,
2.5766804,,,,,,,13316,
1.9999964,,,,,,,6338,
2.756326,,,,,,,6957,
3.4425929,,,,,,,10211,
2.1958022,,,,,,,11048,
2.006398,,,,,,,8108,
3.5501373,,,,,,,25761,
2.1425841,,,,,,,16091,
2.2473502,,,,,,,19218,
2.021359,,,,,,,23633,
2.3914771,,,,,,,9050,
1.9370306,,,,,,,8742,
2.6769738,,,,,,,24460,
1.8369949,,,,,,,23673,
1.9902428,,,,,,,6489,
1.9649861,,,,,,,8181,
2.0782368,,,,,,,20907,
2.0135386,,,,,,,18872,
2.0749311,,,,,,,17505,
2.8824849,,,,,,,53327,
2.4611025,,,,,,,15131,
2.8684456,,,,,,,25776,
1,,,,,,,18192,
1.9838778,,,,,,,22257,
1.9734734,,,,,,,10944,
1.8656027,,,,,,,25496,
1.9965907,,,,,,,11120,
3.2397921,,,,,,,26612,
3.9551616,,,,,,,64937,
1.9828939,,,,,,,7862,
2.9991398,,,,,,,6403,
1.94486,,,,,,,6264,
1.9438161,,,,,,,4826,
2.0068033,,,,,,,19325,
2.4245732,,,,,,,27517,
2.1039073,,,,,,,65577,
2.5005009,,,,,,,17311,
2.7121058,,,,,,,37704,
2.2177517,,,,,,,14021,
2.0960209,,,,,,,36628,
2.1334,,,,,,,14384,
2.7249141,,,,,,,17951,
2.6556785,,,,,,,14275,
2.0335457,,,,,,,14576,
2.7197399,,,,,,,71574,
1.9200271,,,,,,,18292,
3.137037,,,,,,,10180,
1.9396542,,,,,,,10069,
2.7150328,,,,,,,12121,
1.9920088,,,,,,,23037,
3.0748768,,,,,,,26992,
1.9046971,,,,,,,20618,
2.0648947,,,,,,,5696,
3.2165411,,,,,,,6770,
3.2786117,,,,,,,32009,
2.5455592,,,,,,,16677,
2.5461133,,,,,,,62616,
2.5287704,,,,,,,14077,
1.9950048,,,,,,,10533,
2.0799837,,,,,,,16988,
2.0231946,,,,,,,16697,
3.4218769,,,,,,,6441,
3.0272148,,,,,,,,
3.7172141,,,,,,,5678,
2.7974832,,,,,,,1998,
3.4431884,,,,,,,2604,
4.0483131,,,,,,,1945,
3.5553751,,,,,,,23468,
3.1027606,,,,,,,220962,
3.7533619,,,,,,,11353,
2.0867386,,,,,,,9820,
4.4892063,,,,,,,7191,
3.829834,,,,,,,1690,
2.3378754,,,,,,,69501,
2.7737606,,,,,,,2751,
2.600935,,,,,,,4603,
1.9903225,,,,,,,6436,
1.9108827,,,,,,,12729,
2.9653983,,,,,,,12477,
1.9267122,,,,,,,13202,
1.9996762,,,,,,,11838,
2.1872323,,,,,,,14148,
2.0259585,,,,,,,10100,
1.59978,,,,,,,6716,
3.1408634,,,,,,,122838,
3.0727003,,,,,,,15769,
1.9734212,,,,,,,8256,
2.0213404,,,,,,,30536,
3.5794005,,,,,,,23425,
2.0335519,,,,,,,14879,
2.0774202,,,,,,,43514,
2.0066345,,,,,,,16055,
2.6485658,,,,,,,17509,
2.1348386,,,,,,,14391,
1.9997854,,,,,,,8418,
1.91175,,,,,,,,
1.9924048,,,,,,,11492,
1.999789,,,,,,,11098,
1.9098003,,,,,,,13946,
2.488831,,,,,,,14906,
1.8290507,,,,,,,10218,
1.9920715,,,,,,,11486,
1.8566796,,,,,,,17123,
2.1521592,,,,,,,51307,
2.0162165,,,,,,,8922,
2.6131849,,,,,,,12030,
2.8374722,,,,,,,8275,
1.6715466,,,,,,,16347,
2.8599889,,,,,,,12535,
2.4121068,,,,,,,21157,
1.8107598,,,,,,,11021,
2.1423867,,,,,,,40085,
2.0155866,,,,,,,20609,
1.9645914,,,,,,,39248,
1.9950422,,,,,,,12827,
1.9750881,,,,,,,9018,
2.3700635,,,,,,,113695,
1.9732339,,,,,,,11666,
2.273401,,,,,,,19968,
2.0867243,,,,,,,15094,
2.8901689,,,,,,,13845,
1.9204909,,,,,,,17315,
2.0139208,,,,,,,18028,
2.2356484,,,,,,,52514,
1.9628855,,,,,,,11901,
1.9739065,,,,,,,13719,
2.8096304,,,,,,,14469,
1.9643147,,,,,,,20828,
1.7586447,,,,,,,12288,
1.986371,,,,,,,15384,
2.5208209,,,,,,,9635,
1.4348731,,,,,,,14016,
1.8305362,,,,,,,62271,
3.0489266,,,,,,,18961,
1.9962612,,,,,,,15365,
1.6523318,,,,,,,14527,
1.9931033,,,,,,,14784,
3.084007,,,,,,,30258,
2.0321679,,,,,,,20518,
1.9076661,,,,,,,11672,
2.0744581,,,,,,,43518,
2.1621838,,,,,,,14600,
1.9680686,,,,,,,8546,
1.9780964,,,,,,,16208,
2.2515655,,,,,,,32796,
2.0333676,,,,,,,134901,
2.5545466,,,,,,,30484,
2.2744448,,,,,,,25380,
2.1775429,,,,,,,59331,
1.9298477,,,,,,,9898,
1.9877337,,,,,,,21414,
3.1603069,,,,,,,34066,
1.9958314,,,,,,,10204,
2.344202,,,,,,,69503,
